label,sentence1,sentence2
0,"At a time when many cities have undertaken Vision Zero campaigns to eliminate traffic fatalities, and made a move toward “complete street” design — which takes cyclists and pedestrians as much into account as it does the movement of cars — it’s time for the U.S. Department of Transportation, newly helmed by Pete Buttigieg, to catch up and not simply function as a sugar daddy for highways.",sugar daddy
1,"An administrative assistant who worked as the senior Giallonardo’s personal assistant for six months witnessed him boasting about a sexual encounter with an underage girl while abroad and was asked to find her boss sexual partners on a site for “women who would have sex for compensation,” billed as “The Official Sugar Daddy Site.”",sugar daddy
1,"Branch has a number of tips that will make the wedding day itself run more smoothly and if there’s one aspect that I’d stress, it’s the need to make sure that you don’t find yourself formatting memory cards while shooting.",wedding day
1,"Several speakers, including the representative of Afghanistan, said States must lend robust support to the peace process and the proposed international peace conference, with a view to advancing along the road towards a two-State solution.",peace conference
0,"Apart from the exports, the British think tank also said that import growth picked up in December too, resulting in faster growth in Q4 compared to the previous quarter.",think tank
1,"Members of the media are invited to speak with Michael Wilson on his background and how he developed The Think Tank, as well as on education trends, by utilizing the contact information below.",think tank
0,"The silver lining this year especially for the hotels in Metro Manila, as you know, is the OFWs and balikbayans.",silver lining
1,"Stinson released his debut solo album, Village Gorilla Head in 2004 and subsequently joined Soul Asylum for the completion of their album The Silver Lining, and was a member of the band for the album's tour in 2006 before joining them as a permanent member until 2011.",silver lining
0,"Custer County Commissioner Mark Hartman has previously said he ""doesn’t want the courthouse to be a sitting duck for bad actors who may come to the courthouse to cause problems,"" the Custer County Chronicle reported in November.",sitting duck
1,"The Estonian Gauchos and a late incarnation of Sitting Duck also included another future Camper Van Beethoven member, bassist Victor Krummenacher, whose joining allowed Lowery to switch to rhythm guitar.",sitting duck
0,"The danger in this episode is brought on by a hematoma, what is more commonly referred to as a ""bump"" or ""goose egg"" after hitting your head.",goose egg
0,"It said he was obsessed with collecting his payments for personal appearances in cash, evading paying income tax, having numerous sexual encounters with women other than his wife, never picking up a check, consorting with Mafia figures, and loaning more than $100,000 to finance a Cleveland loan shark.",loan shark
1,They call it the Loan Shark Prevention Act.,loan shark
0,"As many of his friends and colleagues know him to be, Esplago has always been a busy bee who makes changes happen whenever he goes.",busy bee
1,"For example ""Busy Bee Mindy"" might be driven, motivated, and partial to using Slack, but this doesn't give your sales team anything to work with.",busy bee
1,"URBANA — As Principal Joe Wiemelt and his staff mapped out what classes would look like when students return to Urbana Middle School on Tuesday, they began putting together a spreadsheet, detailing the various aspects they’d need to think about in different tabs.",middle school
0,Both women brush the incident aside and chalk it up to ancient history. ,ancient history
1,"Five hundred years hence we shall be quite ancient history ourselves, and folks can romance over our tombstones if they feel inclined.",ancient history
1,"Department of Justice Inspector General Michael Horowitz released a critical review which found the department ""failed to effectively prepare for and manage the policy's implementation.""",critical review
0,"One thing is different this time around, however — Fox News is no longer the top dog.",top dog
1,"Taking third, Otis rounded out the Second Annual Lake County ""Top Dog"" contest winners.",top dog
1,"In classic Colonial Revival style, the Lauriston Estate includes a marble foyer and spacious entrance hall leading to a unique dual bowed staircase.",entrance hall
1,"In the film, Barbara Stanwyck plays a beautiful con artist named Jean who jeopardizes her scheme when she accidentally falls in love with her mark, Charles (Henry Fonda), and decides to trick him all over again after he discovers the first ruse.",con artist
1,"In their respective press releases, the Tunisian General Labour Union (UGTT), the Tunisian Forum for Social and Economic Rights (FTDES) and the Tunisian Association of Young Lawyers (ATJA) also underline the culpability of successive governments since 2011 in the deterioration of the social situation, the aggravation of corruption and the “hijacking of the revolution to the profit of the lobbies” (ATJA).",labour union
1,"Aram seeks to represent: “All persons in the United States who (1) received a text message to their cellular phone number from Defendants, (2) within four years prior to the filing of this action, (3) which text message was sent without the recipient’s prior express consent, and (4) which text message(s) (a) advertised Defendants or (b) encouraged the recipient to make a purchase from Defendants.”",cellular phone
1,"The cabin features an electric cooking stove and lights, but other amenities are limited.",cooking stove
1,"He then fed those numbers and data on the species’ behavior and habitat into a computer program that modeled how much heat stress an animal would be exposed to, and how well it could cool itself, under different temperature conditions.",computer program
0,Leinster have become such a big fish in such a small pool that something will have to give.,big fish
1,"I've got whole families that are making this an event where we've got people coming down from Minnesota to spend some time together and I've got serious anglers bringing in serious electronic gear to try and catch big fish, so it is really cool how this thing all works out and it's fun,"" Bruns said.",big fish
1,"One of the things that we have been able to do is to look at venture capital and say, 'Look, there are a lot of rote, repetitive tasks that venture capitalists do, and what if we could eliminate those tasks, so that we don't need to hire the boiler room of Ivy League grads to cold call the entire phone book and annoy all the entrepreneurs and do all that kind of stuff.",phone book
1,"Europe hasn't come this close to a major blackout since 2006 when more than 15 million households were plunged into darkness for hours, although there was another narrow escape when the frequency dropped dangerously low at the start of 2019.",narrow escape
1,"He expanded the Railway Mail Service, authorized the first money orders and began deliveries to urban residences, while the post became the first major institution to employ large numbers of women and African Americans.",mail service
0,"A partir daí, a tecnologia do Face ID fica em segundo plano para que o desbloqueio do smartphone seja mais veloz.",segundo plano
1,"Os ataques das forças de segurança ocorreram simultaneamente à comemoração do Dia das Forças Armadas, que vem sendo comemorado em Naypyidó com um desfile militar presidido por Min Aung Hlaing, 64 anos.",desfile militar
0,"Como em todo clássico, o sangue quente apareceu.",sangue quente
1,"Os tritilodontídeos em geral eram semelhantes aos mamíferos: eles provavelmente tinham sangue quente e várias características esqueléticas, especialmente com seus membros, que se alinhavam mais com o que os mamíferos tinham do que seus contemporâneos reptilianos.",sangue quente
1,"Segundo a empresa, a intenção foi construir um alto-falante potente, fino, que não ocupasse muito espaço na mobília e caso haja intenção, possa ser disfarçado como artigo de decoração.",alto-falante
0,O preço também varia para cima quando o destino está na alta temporada.,alta temporada
0,"Após o avistamento de um disco voador e seu misterioso passageiro, a história se divide em duas frentes.",disco voador
0,"O aumento da cobertura do benefício confere mais estabilidade financeira ao estudante”, destaca primeira-dama",primeira-dama
0,"O filme acompanha Gela Kolochovi, um caixeiro viajante que circula por uma regiao rural da Republica da Georgia.",caixeiro viajante
1,"Era um homem prático e objetivo”, orgulha-se Fábio, que se mudou para São Paulo em 1994, e trabalhou inicialmente como um caixeiro viajante, um representante comercial.",caixeiro viajante
0,"Ou as travas existem, mas quem deveria punir faz vista grossa?",vista grossa
0,"O sábio ia à frente, com os discípulos seguindo em silêncio atrás, em fila indiana (literalmente).",fila indiana
0,"É como se caísse em um limbo, um buraco negro"", declarou.",buraco negro
1,"No entanto, era um alarme falso: "" Anne tinha ido para o camarim por um minuto.",alarme falso
1,"Além disso, o governo federal tem o compromisso de não deixar obras paralisadas e de terminar empreendimentos em andamento.",governo federal
1,Parte deles acredita que as mudanças sinalizam uma tentativa de Jair Bolsonaro (sem partido) endurecer o regime político.,regime político
0,"É mais fácil achar um bode expiatório do que encontrar a real fonte, que é dentro das nossas casas"", completou.",bode expiatório
0,As publicações de Abboud estão costuradas por um fio condutor comum: a luta pela autonomia do direito e o reconhecimento de sua relevância para a manutenção de um Estado Constitucional.,fio condutor
1,"Essa corrente eletrica e coletada e migra, atraves de um circuito externo (como um fio condutor), para uma segunda camara onde ocorre uma reaçao quimica.",fio condutor
0,"O atual número dois do Itamaraty, que era braço direito do ex-ministro da pasta Ernesto Araújo, deverá ser sabatinado pela Comissão de Relações Exteriores (CRE), hoje presidida pela senadora Kátia Abreu (PP-TO).",braço direito
1,"Em ""O Braço Direito"" conhecemos a historia de Anselmo, um ex-investigador da Policia Civil que agora atua clandestinamente no Mercado de Açoes como o homem de confiança e ""faz-tudo"" de um magnata da Bovespa.",braço direito
0,Um cão de raça pastor alemão foi encontrado preso na parte de baixo de uma carrinha. ,pastor alemão
0,Meu sonho era colocar meu filho no Colégio Militar.,colégio militar
1,"Atualmente, ele trabalhava na Diretoria de Pessoal Militar (DPM), mas já serviu no Gtop 21. Também foi professor do Colégio Militar Tiradentes.",colégio militar
1,"Um cão policial tem muitas habilidades — detectar drogas, artigos ilícitos, ou pessoas —, mas farejando e encontrando rolo de papel higiênico, você já tinha visto?",papel higiênico
1,O HC está transformando sala cirúrgica em leito de UTI. ,sala cirúrgica
1,"A tecnologia está em análise desde 2014, mas o primeiro grande passo foi dado em fevereiro, às vésperas das celebrações do ano-novo lunar, quando o Banco Popular da China distribuiu, por sorteio, pacotes de 200 e-yuans (cerca de 170 reais) a dezenas de milhares de pessoas.",ano-novo
0,"Em uma frigideira, aqueça o óleo, frite rapidamente os feijões, tempere com sal e pimenta, finalize com o cheiro-verde.",cheiro-verde
0,O que se sabe com certeza sobre a roleta russa e que ela e uma referencia para escritores e produtores cinematograficos de todo o mundo.,roleta russa
1,"Na ausencia de evidencias empiricas suficientes, eles recorrem a sorte e a uma arma, realizando um experimento muito semelhante ao que hoje e amplamente conhecido como roleta russa, um misterioso ""jogo"" mortal envolto em misterio.",roleta russa
0,"Em comunicado, o centro comercial explica que ""desde a primeira hora adotou todas as medidas de higiene de segurança na prevenção à pandemia"".",centro comercial
1,"Com a participação dos Rotary Clubs de Barueri-Alphaville, Barueri-Tamboré, Carapicuíba, Osasco, Jandira-Santana de Parnaíba-Aldeia da Serra e Barueri-Centro Comercial Alphaville, o objetivo é reforçar os estoques do sistema de saúde, quase esgotados por causa do agravamento da pandemia do novo coronavírus.",centro comercial
0,"O fato é que algumas pessoas parecem ter o sexto sentido mais aguçado e, seja por meio de um frio na barriga, um pensamento repentino, um sonho ou uma sensação diferente, sabem o melhor caminho a seguir e a melhor escolha a fazer.",sexto sentido
0,"Ao contrário dos gastos comuns de política fiscal, acompanhamos nos Estados Unidos a compra de títulos públicos e privados por parte do Banco Central, o Federal Reserve, o que significou que muitos dos recursos utilizados pelo Governo para o combate à crise não foram totalmente alocados para os mais pobres, aqueles que consomem mais itens de primeira necessidade, o que causa impacto à inflação de maneira mais direta e severa.",primeira necessidade
1,"A participação no processo seletivo possui uma taxa de inscrição no valor de R53,00, para candidatos da comunidade, que deve ser paga via boleto.",processo seletivo
1,"Os cento e tantos átomos são, na verdade, arranjos de três partículas mais elementares --prótons e nêutrons aglutinados em um núcleo atômico, com elétrons orbitando esse núcleo.",núcleo atômico
1,O Garfos Restaurante trabalha com um cardapio baseado em comida caseira e visa oferecer refeiçoes de qualidade a um preço acessivel.,comida caseira
0,Briga por postagem em rede social termina em morte a tiros na Vila Margarida,rede social
0,"Em outro momento, voltando ao tema do impasse do Orçamento, ele reforçou que a busca é por uma solução, que a briga tem “mérito” e que “sempre, em grande rebanho, tem uma ovelha negra”.",ovelha negra
1,"Dia 30 é a vez de Julia Mestre subir ao palco com o repertório de Rita Lee, passeando por canções de diferentes períodos, como Ovelha Negra e Amor e Sexo.",ovelha negra
0,"Um empresário de Manaus topou esse desafio conosco do Campeonato Brasileiro feminino da A2 especificamente dessa competição e com esse sinal verde nós começamos a sondar algumas atletas e quando tivemos o sim de algumas jogadoras que já passaram pelo Iranduba nos momentos bons ali de 2016 e 2019, caso da Elisa, Vitória...aí nós vimos que conseguiríamos montar um bom time.",sinal verde
1,"Quando Lewis Hamilton, que fez bela prova de recuperação, recebeu o sinal verde para largar, a Globo era líder em São Paulo com 5,2 pontos de frente para a Band (8,1 a 2,9).",sinal verde
0,Livro aberto: Demi Lovato revelou a sua orientação sexual e como a descobriu,livro aberto
1,"A partir daí, a capa do último livro aberto será mostrada na tela sempre que o Kindle entrar em repouso.",livro aberto
0,"O ponto forte da história é um grande cientista com uma grande ideia, mas para um sucesso sustentado é necessário construir sistemas para gerenciar as informações e os dados”, diz ele.",ponto forte
0,"Já no dia 14 de abril, o casal Geraldo Lino e Nair Gerônimo, moradores de Jales, levaram até a Santa Casa a doação de café, feijão, arroz, leite integral, açúcar, biscoito de água e sal, cebolas, batatas e outros alimentos perecíveis.",leite integral
0,"Desafiados a reconfigurar toda a planta baixa e agregar cômodos mais proporcionais, os arquitetos do escritório NAME architecture criaram um terceiro quarto e banheiro.",planta baixa
1,"A ideia alinha-se em determinado grau aos movimentos e percepçoes propostos pelo experimento cenico ""Expediçao Planta Baixa"", do Coletivo Projeto Casa.",planta baixa
0,"Chegou o fim do ano e com ele as festas de Natal, de Ano Novo e, claro, o tradicional amigo secreto - ou amigo oculto, dependendo da região do Brasil.",amigo oculto
1,"Esta é a versão do app semelhante ao Amigo Oculto SMS, mas para quem tem iOS.",amigo oculto
1,"Ethan Renner (Kevin Costner), veterano agente secreto, está à beira da morte.",agente secreto
0,"Irritado com a mentira, o líder desejará matar os dois personagens a sangue frio, mas temerá que o Todo-Poderoso se vingue.",sangue frio
1,"A denúncia, que também implica Nilza dos Santos Miranda, Artemisia Mesquita de Almeida, Alcides Manuel do Nascimento e Jorge da Costa Carramanho Junior, é um dos desdobramento da Operação Sangue Frio, da Polícia Federal, que desarticulou esquema de fraudes em licitação e uso indevido de verba pública - também conhecida como “máfia do câncer”.",sangue frio
0,There are several theories behind the origin of the term “Double Dutch.”,double dutch
0,"Double Dutch also derives from the same era, Dutch seeming a strange and convoluted language hence Double Dutch meaning indescernible, mad and generally all round not on foreign speak.",double dutch
0,"Since 1977 we have had a plethora of Foreign Ministers, to whom the subject of foreign affairs was double Dutch.",double dutch
0,Turns out that these people were speaking double Dutch.,double dutch
0,Is Flemish premier talking double Dutch?,double dutch
1,"Another nice thing about Double Dutch is that they are an independent business run by a husband and wife team, offering something a bit different to locals and visitors alike.",double dutch
1,"Since settlers from other areas of the world could not understand the songs, they labeled the activity “Double Dutch.”",double dutch
1,"At 6,400gns, Auldhouseburn sold another by the same sire, and again in lamb to Double Dutch, to Northern Irish buyer, J. Cubbitt of Ballymena.",double dutch
1,Double Dutch hasn't committed murder in almost 20 years but Valentine's Day is coming and he feels that it's time to play cupid.,double dutch
0,"The White House job was well compensated — former chief ushers say salaries run in the $200,000 range — but the days are long, particularly if the president is an early riser or a night owl; Mr. Trump was both.",night owl
0,"I didn't have to do that very often, thank God, but when it was my turn to lay out pages, I would either have to get up before dawn to get the Sports section done (a horrible fate for a night owl like myself) or stay at the office until 2 or 3 a.m. working on the next day's Sports section.",night owl
0,Bonus features such as achievements and a dark mode for the night owl mobile gamers are also included should you need them.,night owl
0,"The researchers said experience shows ""night owl"" patients with depression are less likely to recover and are more likely to commit suicide.",night owl
0,"They looked at nine ""early birds"" and nine ""night owls,"" who were classified as such based on a questionnaire.",night owl
0,"Experts say a spectrum of natural sleeping and waking rhythms exists, ranging from extreme morning people to extreme ""night owls.""",night owl
0,"Whether you're a night owl or early bird, though, try to make sure you're not diving right onto your phone.",night owl
0,A new study examines how morning people compare with night owls on a strength test and looks at what other physiological processes may contribute to their performance.,night owl
0,"It's very difficult for a night owl to become a morning person, Collop said.",night owl
0,"Their biological clocks shifted into “night owl” gear, and their activity and homework demands rose, just as my husband and I sunk into middle age.",night owl
0,He has always been a night owl and I have always been an early morning person.,night owl
0,Ben Salmon is a committed night owl with an undying devotion to discovering new music.,night owl
1,"Samaha’s most interesting occurrence for the year was running his first trail race, the Night Owl 9K in July, where he tripped over a large root, fell hard, and unknowingly had his bib number ripped off his shorts.",night owl
1,Its Night Owl scheme will be featured in two of the three races with Hooters as the primary sponsor (Indianapolis Road Course and he Bristol Night Race).,night owl
1,The Night Owl system is a good option for small retail or service businesses.,night owl
1,"Andrew Gonzalez, owner, Night Owl Cookies: ""Nobody believed in me except for Deco Drive.",night owl
1,"Thefts of catalytic converters and tools from work vans will also come under the Operation Night Owl umbrella as well as overnight rural criminality, police said.",night owl
1,"In addition, the Lafayette Transit System office will be closed Monday, and there will be no Daytime, Night Owl or Para-transit bus service Monday.",night owl
1,Sunshine Housekeeping/Night Owl Commercial Cleaning Service,night owl
0,"Second, it ties the working class to fronts formed on bourgeois programs, weakens and politically disarms it, and creates the opportunity for the class enemy to drown the working class and the poor peasants in a blood bath.”",blood bath
0,Mojo Horne turned Brendan Seguin into a blood bath as he dropped countless elbows onto Seguins face while mainintaining a dominating mounted position Seguin simply couldn't get out of and kept hold of his 185lb Pro Title.,blood bath
0,"The US embassy will remain in Jerusalem, as this act was the implementation of a law passed by Congress in 1995, despite wild predictions of a “blood bath” if a move took place.",blood bath
0,"It is not because these media outlets don't know the truth, it is because they want a blood bath in Ethiopia by garnering support for the TPLF.",blood bath
0,"Death Valley could well have had its own blood bath, had the officers provided the opportunity.”",blood bath
0,No one in Egypt wants a blood bath or purges that may unjustly injure or dispossess the innocent.,blood bath
0,"There are countless videos of people reacting to the blood bath that was the Red Wedding, but here's a nice compilation to get you started.",blood bath
0,"Sick and tired of riots and blood bath almost every month , Delhi, Bangalore and now again Delhi #RedFort,"" the actress wrote in a separate tweet.",blood bath
0,"She captioned her video on Twitter, “Sick and tired of riots and blood bath almost every month, Delhi, Bangalore and now again Delhi.”",blood bath
0,"Make your way back to the stronghold, again either leaving a blood bath in your path or sneak back to the stronghold.",blood bath
0,"Davies said they found ""A woman with no shoes on, blood all over, one eye was completely shut, hair missing, just a blood bath.""",blood bath
0,"But when he ropes her into one of his criminal schemes, she finds herself in the midst of a brutal blood bath, willing to step in and save her man's life…by any means necessary.",blood bath
0,"To avoid a blood bath, prison officials ordered the gate to be opened.",blood bath
0,"The Honduran Catholic Church called on all parties to avoid a ""blood bath"".",blood bath
0,Take the challenge and come out victorious from a blood bath with ferocious beasts!,blood bath
0,"If the rioters were Black it'd be a blood bath.""",blood bath
0,"It's going to be a blood bath.""",blood bath
0,"We didn’t go through the blood bath last week for nothing, keep it up boys!!""",blood bath
1,"Deborah Loomis is an actress, known for Hercules in New York (1970), Foreplay (1975) and Blood Bath (1976).",blood bath
1,"For January 2021, the following Ohio communities are receiving funding from OWDA’s Fresh Water Loan Program:",fresh water
1,"They propose that this region was filled with fresh water between 70,000–62,000 years ago and approximately 150,000–131,000 years ago, and that these changes occurred over relatively short periods of time.",fresh water
1,"Fresh water is less dense than salt water, and so in regions where an excess of fresh water has accumulated we expect a localized rise in sea level,"" says Craig Rye, an oceanography researcher at of the University of Southampton in the UK, who, with colleagues, has published the findings in Nature Geoscience.",fresh water
1,"Due to the lack of adequate reporting requirements, it’s virtually impossible to determine at this time exactly how much fresh water is used in hydraulic fracturing today.",fresh water
1,"The review warned of waning biodiversity within Earth's soil, which provides 65 percent of the planet's fresh water and 99 percent of humans' calorific intake.",fresh water
1,The fresh water would be pumped from the lake via a pipeline to a proposed headwall at the coast road where another pipeline would carry the fresh water to tarpaulins which would be towed by boat to the sites where the fish would be treated.,fresh water
1,"Oil and gas companies industrywide have made great strides in recent years to replace the use of fresh water with a combination of recycled and produced water for hydraulic fracturing, the main use of fresh water by the industry.",fresh water
1,"Eels in the Susquehanna River help transport fresh water mussels that act as small filtration devices, combing out toxins from the water.",fresh water
1,"Ursa called for drilling within 900 feet of the Colorado River, 600 feet from the PUD’s fresh water supply, and 500 feet from homes.",fresh water
1,A cubic meter of fresh water entering the ocean will release as much energy as a cubic meter of water falling 270 meters.,fresh water
1,"Egypt views the Grand Ethiopian Renaissance Dam as a major threat to its fresh water supplies, more than 90% of which come from the Nile.",fresh water
1,This means they can be submerged in up to 3 feet (1 meter) of fresh water for up to 30 minutes.,fresh water
1,"For now, the stone face sits in a tank of fresh water, denuded of seaweed and cleansed of salt.",fresh water
1,"In that case, he adds, priorities would have to be clearly established — for example, there should always be enough fresh water for cooking or showering, but not necessarily for watering a private garden.",fresh water
1,"In addition to food, fresh water is also critical for bird health.",fresh water
1,"They come out with rich stories but they also start to develop a voice for advocacy for indigenous people, and for our public lands, and fresh water.""",fresh water
1,Michigan has a lot of fresh water lakes.,fresh water
1,"In layperson's terms, he created carbon eating concrete while reducing the demand for fresh water.",fresh water
1,"Having the clear water and sandy beaches, so many fresh water lakes, is pretty cool.",fresh water
1,"Researchers from the Alfred Wegener Institute and MARUM have now published new findings about the past of the Arctic Ocean: Since the last 150,000 years, it is believed to have been covered at least twice by ice shelves more than 900 meters thick and to have been completely filled with fresh water during the last ice age.",fresh water
1,A prototype device that feeds an LCD screen when the electrodes go from salt to fresh water and vice versa.,fresh water
1,"We aim to provide sustainable fresh water supplies to coastal areas across Europe by trialling schemes, such as this one in Felixstowe.",fresh water
1,"In December 2020, New Mexico Commissioner of Public Lands, Stephanie Garcia Richard, announced plans to halt the commercial sale of fresh water from state trust lands for oil and gas development.",fresh water
1,"The production of hydrogen right now requires fresh water, but if it could be done with salt water, production would be exponentially easier.",fresh water
1,"After the water is gone, you should flush the system with fresh water to remove any dirt, algae, grime, or salt that is still present.",fresh water
1,"Instead, he discovered that, in the lab at least, lightning-like discharges are brighter over salt water than over fresh water or soil.",fresh water
